TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,7625,7625,1,Kitalale,Kitalale,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,18.481,20.60644708,Not Applicable,0,Designated,1977,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7548,7548,1,Chemurokoi,Chemurokoi,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,39.66,39.61234416,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7546,7546,1,Cheboyit,Cheboyit,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,25.27,25.16106169,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7588,7588,1,Kessop,Kessop,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,23.47,19.61906537,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7711,7711,1,Sekenwo,Sekenwo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.63,8.58908248,Not Applicable,0,Designated,1962,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7713,7713,1,Sogotio,Sogotio,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,35.55,35.39508548,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7584,7584,1,Katimok,Katimok,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,20.56,20.10077836,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7659,7659,1,Mosegem,Mosegem,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,2.05,2.040063643,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7572,7572,1,Kapchemutwa,Kapchemutwa,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,89.4515,88.34849488,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7720,7720,1,Sekhendu,Sekhendu,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.04,8.006399977,Not Applicable,0,Designated,1977,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7706,7706,1,Pemwai,Pemwai,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.32,1.317932338,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7577,7577,1,Kaptagat,Kaptagat,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,128.0112,129.2804481,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7545,7545,1,Chebartigon,Chebartigon,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.03,1.01105231,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7734,7734,1,Turbo,Turbo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,108.14,107.6614162,Not Applicable,0,Designated,1968,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7709,7709,1,Saimo,Saimo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.27,7.242007964,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7632,7632,1,Lugari,Lugari,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,21.93,21.83211493,Not Applicable,0,Designated,1977,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7607,7607,1,Kinyo,Kinyo,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,3.24,3.374994243,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7692,7692,1,North Nandi,North Nandi,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,113.45,112.9541079,Not Applicable,0,Designated,1936,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7576,7576,1,Kapsaret,Kapsaret,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,11.942,10.03941423,Not Applicable,0,Designated,1932,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7665,7665,1,Mtarakwa,Mtarakwa,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.1,1.096511881,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,KE-700,KEN,KEN,Not Applicable,Not Applicable
Polygon,7565,7565,1,Kabarak,Kabarak,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,13.92,13.88597778,Not Applicable,0,Designated,1962,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7702,7702,1,Ol Arabel,Ol Arabel,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,97.38,96.94978333,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7544,7544,1,Bunyala,Bunyala,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.26,8.043411155,Not Applicable,0,Designated,1956,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7606,7606,1,Kimojoch,Kimojoch,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.62,7.589852171,Not Applicable,0,Designated,1949,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7701,7701,1,Nzaui,Nzaui,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,10.01,9.962533313,Not Applicable,0,Designated,1960,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7687,7687,1,Ngaia,Ngaia,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,43.14,42.94995031,Not Applicable,0,Designated,1959,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
